accountNumber,customerId,creditLimit,availableMoney,transactionDateTime,transactionAmount,merchantName,acqCountry,merchantCountryCode,posEntryMode,posConditionCode,merchantCategoryCode,currentExpDate,accountOpenDate,dateOfLastAddressChange,cardCVV,enteredCVV,cardLast4Digits,transactionType,isFraud,currentBalance,cardPresent,expirationDateKeyInMatch
206257508,206257508,15000,4978.16,2016-10-27 12:30:20,69.23,Uber,US,US,5.0,1.0,rideshare,2021-01-06,,2016-09-02,447,447,4308,PURCHASE,False,10021.84,False,False
814508417,814508417,5000,4431.74,2016-03-20 19:04:38,316.97,Ray's Fries #24425,US,US,9.0,1.0,food,2026-01-05,,,762,762,1972,PURCHASE,False,568.26,True,False
318001076,318001076,50000,38425.46,2016-05-03 14:10:10,119.74,ebay.com,US,US,5.0,1.0,online_retail,2020-01-04,2015-11-12,,633,633,1789,PURCHASE,False,11574.54,False,False
227628318,227628318,10000,1591.27,2016-10-12 15:43:47,85.98,Regal Cinemas #276341,US,US,5.0,1.0,entertainment,2022-01-11,2015-06-12,,153,153,1013,PURCHASE,False,8408.73,True,False
697150961,697150961,5000,3581.19,2016-03-11 07:14:20,12.8,Shake Shack #912965,US,US,9.0,8.0,fastfood,2026-01-10,,,280,280,477,PURCHASE,False,1418.81,True,False
773863988,773863988,5000,3840.07,2016-09-21 17:01:56,86.89,1st Sandwitch Bar #772439,US,US,5.0,1.0,food,2023-01-02,,2016-02-08,598,598,66,PURCHASE,False,1159.93,True,False
937015321,937015321,7500,1633.96,2016-09-03 02:17:34,0.0,Best Deli #329705,US,US,5.0,8.0,food,1931-01-02,,,138,138,6565,ADDRESS_VERIFICATION,False,5866.04,False,False
251625315,251625315,10000,5521.83,2016-07-10 01:45:52,0.78,Auntie Anne's #740458,US,US,2.0,8.0,fastfood,2021-01-07,,2016-10-03,410,410,913,PURCHASE,False,4478.17,True,False
233765798,233765798,20000,20000.0,2016-01-01 02:37:20,385.34,Downtown BBQ,US,US,2.0,1.0,food,2019-01-11,,,813,813,9896,PURCHASE,False,0.0,True,False
970772091,970772091,5000,2063.69,2016-07-24 12:01:38,156.28,Ray's Fries #153092,US,US,5.0,8.0,food,2019-01-07,,,289,289,5278,PURCHASE,False,2936.31,True,False
949844609,949844609,50000,6179.95,2016-10-08 19:51:28,37.89,EZ Putt Putt #982199,US,US,9.0,1.0,entertainment,2023-01-09,,2016-06-08,195,195,8598,PURCHASE,False,43820.05,True,False
704559326,704559326,10000,2196.76,2016-09-27 08:04:49,31.61,Texas Gas #500923,US,US,9.0,1.0,fuel,2021-01-08,2013-09-08,,269,269,1772,PURCHASE,False,7803.24,True,False
713836633,713836633,5000,4518.9,2016-11-29 03:26:00,49.7,Mobil Gas #851671,US,US,9.0,1.0,fuel,2023-01-10,,,388,388,367,PURCHASE,False,481.1,True,False
877017103,877017103,5000,1854.85,2016-06-15 09:47:45,158.09,South Steakhouse #481929,US,US,5.0,8.0,food,2023-01-05,,,731,731,4690,PURCHASE,False,3145.15,True,False
220418368,220418368,15000,3890.89,2016-08-04 02:32:11,210.29,Universe Massage #206797,US,US,5.0,8.0,personal care,2021-01-12,2015-03-06,2016-02-08,591,591,6642,PURCHASE,False,11109.11,True,False
364554298,364554298,250,80.33,2016-03-18 09:44:37,8.75,Spotify,US,US,5.0,8.0,online_subscriptions,2023-01-04,2015-03-11,2015-03-11,737,737,4652,PURCHASE,False,169.67,False,False
507446027,507446027,250,189.32,2016-05-05 22:27:49,125.4,Regal Cinemas #05791,US,US,9.0,8.0,entertainment,1930-01-03,2011-11-03,2011-11-03,609,609,8202,PURCHASE,False,60.68,True,False
373413658,373413658,1000,258.04,2016-10-29 15:06:47,35.58,Washington Post,US,US,9.0,8.0,subscriptions,2026-01-10,2013-04-11,2013-04-11,166,166,6517,PURCHASE,False,741.96,True,False
501149557,501149557,5000,4255.97,2016-02-19 06:45:23,69.27,Quizno's #636342,US,US,2.0,1.0,fastfood,2027-01-04,2014-09-01,2014-09-01,813,813,8916,REVERSAL,False,744.03,True,False
288753202,288753202,5000,415.56,2016-11-18 20:46:08,108.68,West End Beauty #317515,US,US,2.0,1.0,personal care,1930-01-05,2013-02-12,2013-02-12,363,363,9074,PURCHASE,False,4584.44,True,False
863184460,863184460,5000,1965.42,2016-03-11 06:27:59,101.99,AMC #191138,US,US,5.0,1.0,entertainment,2025-01-05,2015-05-12,2015-05-12,837,837,3702,PURCHASE,False,3034.58,False,False
582795387,582795387,5000,1714.87,2016-06-05 03:57:22,236.14,Universe Massage #70014,US,US,5.0,1.0,personal care,2018-01-10,,2016-11-02,721,721,2953,PURCHASE,False,3285.13,True,False
342272294,342272294,5000,1843.76,2016-10-28 04:42:00,31.56,South Steakhouse #378389,US,US,5.0,1.0,food,2019-01-07,,,684,684,8329,PURCHASE,False,3156.24,True,False
471685647,471685647,7500,7422.67,2016-06-04 00:26:40,133.23,EZ Putt Putt #551896,US,US,5.0,8.0,entertainment,2019-01-08,2015-11-02,,451,451,5039,PURCHASE,False,77.33,False,False
663657085,663657085,1000,89.73,2016-08-30 14:31:15,107.07,Uber,US,US,5.0,8.0,rideshare,1930-01-11,,,195,195,8669,PURCHASE,False,910.27,False,False
356039230,356039230,7500,2758.16,2016-08-24 08:40:01,83.13,34th BBQ #412895,US,US,2.0,1.0,food,2018-01-05,,,917,917,9558,PURCHASE,False,4741.84,True,False
527615830,527615830,20000,19250.74,2016-08-04 12:51:02,30.19,KFC #400095,US,US,9.0,1.0,fastfood,1931-01-07,,,116,116,4956,PURCHASE,False,749.26,True,False
744198814,744198814,15000,8462.22,2016-06-13 10:08:21,55.95,Rodeway Inn #152771,US,US,2.0,1.0,hotels,2029-01-04,,,812,812,1692,REVERSAL,False,6537.78,True,False
734868895,734868895,7500,2211.73,2016-12-15 13:28:12,80.45,EZ Putt Putt #804489,US,US,5.0,1.0,entertainment,2026-01-12,,,451,451,1038,PURCHASE,False,5288.27,True,False
626521203,626521203,7500,1172.81,2016-04-19 21:12:11,169.03,ebay.com,US,US,9.0,1.0,online_retail,2021-01-08,,,792,792,8698,PURCHASE,False,6327.19,False,False
235721673,235721673,5000,3989.18,2016-06-16 02:26:58,88.2,EZ Putt Putt #804489,US,US,9.0,1.0,entertainment,2028-01-11,,,634,634,5325,PURCHASE,False,1010.82,True,False
187203510,187203510,20000,19395.34,2016-03-07 08:56:15,59.93,Mobil Gas #281388,US,US,9.0,1.0,fuel,2024-01-05,,,831,831,96,PURCHASE,False,604.66,True,False
353215513,353215513,7500,1882.84,2016-04-16 01:10:02,16.15,Universe Massage #928178,US,US,5.0,1.0,personal care,2029-01-09,2013-04-07,,986,986,2705,PURCHASE,False,5617.16,True,False
771371396,771371396,5000,3503.35,2016-07-04 18:39:08,91.94,amazon.com,US,US,9.0,1.0,online_retail,2021-01-10,,,630,630,5859,PURCHASE,False,1496.65,False,False
933547182,933547182,5000,5000.0,2016-04-02 11:13:01,291.64,Best Deli #329705,US,US,5.0,1.0,food,2025-01-07,,,449,449,6429,PURCHASE,False,0.0,True,False
700321326,700321326,2500,567.6,2016-07-26 03:48:25,593.48,Hilton Hotels #692816,US,US,5.0,1.0,hotels,2028-01-01,2009-05-03,,187,187,4019,PURCHASE,False,1932.4,False,False
235721673,235721673,5000,1824.57,2016-03-07 11:15:54,52.94,EZ Putt Putt #804489,US,US,5.0,1.0,entertainment,2019-01-09,,,634,634,5325,PURCHASE,False,3175.43,True,False
565116829,565116829,20000,3279.36,2016-05-05 03:38:49,79.16,Planet Fitness #55598,US,US,5.0,1.0,health,2027-01-01,,,824,824,5999,PURCHASE,False,16720.64,False,False
148291300,148291300,250,98.92,2016-04-03 20:11:16,368.82,West Elm,US,US,9.0,1.0,furniture,2023-01-07,2014-02-07,2014-02-07,964,964,5799,PURCHASE,False,151.08,True,False
175089467,175089467,20000,11654.21,2016-09-28 08:18:22,308.51,Oklahoma City Post,US,US,5.0,1.0,subscriptions,2020-01-03,2015-01-10,,389,389,119,PURCHASE,False,8345.79,True,False
403356737,403356737,250,250.0,2016-07-20 05:21:47,424.02,CVS #207735,US,US,5.0,1.0,health,2023-01-10,2015-09-12,2015-09-12,538,538,1459,PURCHASE,False,0.0,False,False
521553590,521553590,2500,585.97,2016-05-15 05:13:42,19.79,oldnavy.com,US,US,9.0,1.0,online_retail,2021-01-11,,,972,972,4629,PURCHASE,False,1914.03,False,False
689815792,689815792,250,36.43,2016-10-22 08:51:26,46.5,Dairy Queen #722277,US,US,2.0,1.0,fastfood,2024-01-08,2012-11-12,,586,586,3377,PURCHASE,False,213.57,True,False
911375719,911375719,10000,7270.47,2016-10-14 12:08:41,215.15,amazon.com,US,US,5.0,8.0,online_retail,2019-01-08,2015-07-06,2015-07-06,285,285,2287,PURCHASE,False,2729.53,False,False
442093538,442093538,2500,1421.07,2016-08-28 22:03:03,76.94,Subway #507216,US,US,5.0,1.0,fastfood,2019-01-05,,,761,761,1683,PURCHASE,False,1078.93,True,False
838085703,838085703,5000,1014.52,2016-06-10 18:19:06,8.66,34th BBQ #436606,US,US,9.0,1.0,food,2026-01-03,,2016-06-06,625,625,4062,PURCHASE,False,3985.48,True,False
752299461,752299461,10000,648.93,2016-09-18 00:39:41,46.99,Hardee's #339066,US,US,5.0,1.0,fastfood,2024-01-11,,,261,261,7334,PURCHASE,False,9351.07,True,False
468441453,468441453,10000,5349.13,2016-07-05 08:14:01,271.19,Lyft,US,US,9.0,1.0,rideshare,2026-01-01,2014-05-02,,648,648,7014,PURCHASE,False,4650.87,False,False
645976627,645976627,2500,1968.03,2016-04-04 07:36:13,31.35,staples.com,US,US,2.0,1.0,online_retail,2020-01-11,,,388,388,218,PURCHASE,False,531.97,False,False
335334122,335334122,15000,3513.94,2016-07-16 19:22:57,176.49,sears.com,US,US,2.0,1.0,online_retail,2020-01-08,,,465,465,5968,PURCHASE,False,11486.06,False,False
143308254,143308254,15000,11425.47,2016-04-05 08:37:06,10.36,EZ Putt Putt #503815,US,US,5.0,8.0,entertainment,1930-01-06,2010-11-09,2010-11-09,180,180,7914,PURCHASE,False,3574.53,True,False
579804669,579804669,10000,2718.94,2016-09-16 05:05:06,66.92,Fresh Online Services,US,US,2.0,1.0,online_gifts,1931-01-12,,,426,426,2737,PURCHASE,False,7281.06,False,False
253812347,253812347,7500,3970.94,2016-11-01 08:01:12,57.88,EZ Putt Putt #240241,US,US,5.0,1.0,entertainment,2025-01-11,2014-09-11,,849,849,0,PURCHASE,False,3529.06,True,False
311019462,311019462,250,-53.16,2016-06-10 23:01:36,55.04,Blue Mountain Online Services,US,US,9.0,1.0,online_gifts,1931-01-07,,2016-09-05,317,317,380,PURCHASE,False,303.16,False,False
628989793,628989793,1000,1000.0,2016-09-03 11:50:06,20.32,EZ Putt Putt #503815,US,US,2.0,1.0,entertainment,2025-01-07,,2016-03-08,813,813,2874,PURCHASE,False,0.0,True,False
116279439,116279439,15000,2275.51,2016-11-28 13:33:58,16.83,Blue Mountain eCards,US,US,9.0,8.0,online_gifts,2019-01-05,,,889,889,6534,PURCHASE,False,12724.49,False,False
226859425,226859425,1000,533.8,2016-05-15 02:12:20,55.69,Convenient Auto Services,US,US,2.0,1.0,auto,1930-01-04,2014-06-09,2014-06-09,804,804,5720,PURCHASE,False,466.2,True,False
767113679,767113679,1000,1000.0,2016-06-15 21:58:31,598.78,Renaissance Hotel #896676,US,US,5.0,1.0,hotels,2028-01-02,,,940,940,6209,PURCHASE,False,0.0,False,False
822203001,822203001,5000,2494.31,2016-07-05 14:15:16,0.0,Fast Repair,US,US,5.0,1.0,auto,2029-01-04,2014-11-01,,180,180,6060,ADDRESS_VERIFICATION,True,2505.69,False,False
798198577,798198577,1000,395.55,2016-01-18 03:01:27,813.16,walmart.com,US,US,5.0,1.0,online_retail,2029-01-04,,,155,155,5076,PURCHASE,False,604.45,False,False
858528314,858528314,7500,922.46,2016-05-16 13:53:48,43.59,EZ Putt Putt #804489,US,US,5.0,1.0,entertainment,2029-01-09,,,144,144,4562,PURCHASE,False,6577.54,True,False
297952999,297952999,15000,13908.98,2016-10-31 15:03:43,234.96,amazon.com,US,US,9.0,1.0,online_retail,2019-01-10,2014-06-01,,556,556,2386,PURCHASE,False,1091.02,False,False
472199821,472199821,1000,866.71,2016-11-03 20:54:03,227.45,amazon.com,US,US,9.0,1.0,online_retail,2023-01-03,,2016-07-04,458,458,1300,PURCHASE,False,133.29,False,False
962378532,962378532,2500,2213.44,2016-10-18 20:48:22,241.73,Dunkin' Donuts #758101,US,US,5.0,1.0,fastfood,2019-01-01,,2016-08-04,795,795,65,PURCHASE,False,286.56,True,False
461839622,461839622,10000,1191.17,2016-02-29 12:57:57,130.98,amazon.com,US,US,5.0,1.0,online_retail,2028-01-07,2010-08-11,2010-08-11,987,987,2281,PURCHASE,False,8808.83,False,False
328558223,328558223,5000,590.13,2016-09-05 02:44:00,139.07,Regal Cinemas #729464,US,US,5.0,1.0,entertainment,2023-01-11,,,894,894,9343,PURCHASE,False,4409.87,True,False
492565763,492565763,7500,5406.6,2016-01-24 14:59:37,168.67,Wall Street Times,US,US,5.0,1.0,subscriptions,2027-01-05,,,256,256,6772,PURCHASE,False,2093.4,True,False
785637183,785637183,250,140.54,2016-10-13 10:30:49,40.82,alibaba.com,US,US,9.0,1.0,online_retail,2023-01-01,2014-08-05,2014-08-05,721,721,7874,PURCHASE,False,109.46,False,False
155563878,155563878,5000,3514.45,2016-07-27 14:47:16,13.78,williamssonoma.com,US,US,2.0,1.0,furniture,1931-01-04,2014-03-09,2014-03-09,805,805,2264,PURCHASE,False,1485.55,True,False
986909167,986909167,50000,37136.9,2016-12-07 19:49:54,257.12,ebay.com,US,US,5.0,1.0,online_retail,2027-01-07,2015-12-04,2016-07-12,446,446,5117,PURCHASE,False,12863.1,False,False
586630407,586630407,5000,3248.61,2016-04-04 08:14:20,167.26,Blue Mountain eCards,US,US,5.0,1.0,online_gifts,2022-01-07,,,104,104,5295,PURCHASE,False,1751.39,False,False
318001076,318001076,50000,21973.91,2016-02-09 11:18:23,21.5,walmart.com,US,US,5.0,1.0,online_retail,1930-01-07,2015-11-12,,633,633,1789,PURCHASE,False,28026.09,False,False
389515842,389515842,50000,46911.25,2016-10-16 17:35:11,53.23,amazon.com,US,US,2.0,1.0,online_retail,2021-01-03,,,754,754,5051,PURCHASE,False,3088.75,False,False
806663900,806663900,500,217.99,2016-10-09 20:44:59,144.42,Universe Massage #534124,US,US,5.0,1.0,personal care,2023-01-10,,,989,989,9484,PURCHASE,False,282.01,True,False
284596749,284596749,250,166.6,2016-03-30 12:51:50,17.04,Lyft,US,US,80.0,1.0,rideshare,2019-01-05,2015-05-07,2015-05-07,586,586,2777,PURCHASE,False,83.4,False,False
710782007,710782007,10000,2817.76,2016-08-27 07:55:24,27.62,Shell Gas #988905,US,US,90.0,1.0,fuel,2020-01-04,,2016-06-05,363,363,2745,PURCHASE,False,7182.24,True,False
877086285,877086285,250,23.48,2016-12-13 07:36:26,51.75,Texas Gas #791036,US,US,5.0,1.0,fuel,2022-01-02,2009-10-08,2016-05-07,645,645,8244,PURCHASE,False,226.52,True,False
953935422,953935422,20000,18468.06,2016-05-06 14:43:37,246.4,EZ Putt Putt #240241,US,US,5.0,1.0,entertainment,2025-01-04,2013-11-01,2013-11-01,429,429,9175,PURCHASE,False,1531.94,True,False
357919206,357919206,7500,3569.31,2016-07-12 14:01:40,326.01,Oklahoma City Times,US,US,5.0,1.0,subscriptions,2025-01-07,,,546,546,2124,PURCHASE,False,3930.69,False,False
115333210,115333210,5000,4471.31,2016-09-10 02:12:55,213.74,cheapfast.com,US,US,5.0,1.0,online_retail,2023-01-06,,,856,856,2255,PURCHASE,False,528.69,False,False
226896970,226896970,50000,9260.33,2016-12-15 07:48:33,410.96,Merchants Auto Services,US,US,2.0,1.0,auto,2029-01-01,,2016-04-08,874,874,3165,PURCHASE,False,40739.67,True,False
953570469,953570469,10000,8461.79,2016-10-03 05:36:56,6.52,Golds Gym #844249,US,US,2.0,1.0,health,2021-01-09,2013-07-12,2013-07-12,350,350,7,PURCHASE,False,1538.21,False,False
102307135,102307135,20000,19693.73,2016-05-11 21:07:48,4.2,Play Store,US,US,9.0,1.0,mobileapps,2021-01-12,2014-02-08,2014-02-08,619,619,4956,PURCHASE,False,306.27,False,False
316913740,316913740,7500,3792.98,2016-03-28 04:44:45,515.25,Blue Mountain eCards,US,US,2.0,1.0,online_gifts,2024-01-01,,,517,517,1596,PURCHASE,False,3707.02,False,False
438087976,438087976,15000,14916.27,2016-01-09 03:30:44,88.93,ebay.com,US,US,9.0,8.0,online_retail,2024-01-05,2011-04-12,2011-04-12,979,979,3300,PURCHASE,False,83.73,False,False
568818309,568818309,15000,1149.62,2016-06-25 10:31:25,76.26,Starbucks #605722,US,US,9.0,8.0,fastfood,2022-01-04,,,520,520,3740,PURCHASE,False,13850.38,True,False
716210160,716210160,5000,402.58,2016-03-17 19:43:34,104.47,Universe Massage #596422,US,US,5.0,8.0,personal care,2027-01-01,,,555,555,2466,PURCHASE,False,4597.42,True,False
468441453,468441453,10000,2021.47,2016-10-30 02:01:28,8.72,oldnavy.com,US,US,9.0,1.0,online_retail,2029-01-07,2014-05-02,2016-06-10,648,648,7014,PURCHASE,False,7978.53,False,False
789448656,789448656,500,404.75,2016-11-21 04:42:11,224.16,gap.com,US,US,2.0,8.0,online_retail,2023-01-11,,,566,566,5134,PURCHASE,False,95.25,False,False
358873192,358873192,20000,19334.69,2016-05-14 12:40:22,141.34,Seattle News,US,US,2.0,1.0,subscriptions,2020-01-10,2008-04-02,2008-04-02,825,825,6727,PURCHASE,False,665.31,False,False
292159535,292159535,15000,13872.91,2016-05-23 19:14:07,5.98,Apple iTunes,US,US,2.0,1.0,mobileapps,2021-01-12,2013-05-06,2013-05-06,689,689,3269,PURCHASE,False,1127.09,False,False
236992371,236992371,2500,275.96,2016-12-13 01:46:49,405.28,AMC #724446,US,US,9.0,1.0,entertainment,2021-01-12,2015-07-11,2016-12-08,824,824,4757,PURCHASE,False,2224.04,True,False
552072046,552072046,5000,1253.12,2016-07-10 23:37:00,70.92,Universe Massage #594526,US,US,5.0,1.0,personal care,2025-01-10,2015-02-03,2015-02-03,777,777,6368,PURCHASE,False,3746.88,True,False
796539151,796539151,15000,11162.72,2016-03-16 21:09:07,246.53,Uber,US,US,2.0,1.0,rideshare,2024-01-06,2014-10-01,2014-10-01,148,148,7130,PURCHASE,False,3837.28,False,False
921414398,921414398,15000,3000.06,2016-10-21 05:33:57,117.96,Uber,US,US,5.0,8.0,rideshare,2024-01-05,,,210,210,3781,PURCHASE,False,11999.94,False,False
772212779,772212779,250,54.36,2016-08-20 19:45:23,162.68,Boston Pub,US,US,5.0,1.0,food,2022-01-10,,2016-04-08,135,135,6040,PURCHASE,False,195.64,True,False
314506271,314506271,250,131.49,2016-10-31 23:19:01,95.39,KFC #31891,US,US,5.0,1.0,fastfood,1931-01-02,,,815,815,2640,PURCHASE,False,118.51,True,False
243374440,243374440,15000,5472.49,2016-04-02 07:13:07,31.77,Shake Shack #516243,US,US,5.0,8.0,fastfood,2021-01-07,2014-05-11,2014-05-11,912,912,1092,PURCHASE,False,9527.51,True,False
683289328,683289328,20000,11996.88,2016-08-03 16:07:03,790.11,apple.com,US,US,80.0,8.0,online_retail,2024-01-09,2010-07-08,2010-07-08,813,813,1803,PURCHASE,True,8003.12,False,False
353215513,353215513,7500,2087.78,2016-03-26 02:50:06,0.0,Boston Fries,US,US,9.0,1.0,food,1930-01-01,2013-04-07,,986,986,2705,ADDRESS_VERIFICATION,False,5412.22,False,False
680153162,680153162,50000,38669.82,2016-07-01 05:16:26,280.33,Hardee's #398938,US,US,9.0,8.0,fastfood,2029-01-05,2013-12-12,2013-12-12,497,497,6546,PURCHASE,False,11330.18,True,False
838085703,838085703,5000,2008.57,2016-04-07 01:17:00,29.19,EZ Putt Putt #240241,US,US,2.0,8.0,entertainment,2025-01-01,,2016-12-02,625,625,4062,PURCHASE,False,2991.43,True,False
901922840,901922840,20000,1349.19,2016-07-21 02:26:31,43.01,Seattle News,US,US,9.0,1.0,subscriptions,2019-01-01,2013-09-09,,713,713,1548,PURCHASE,False,18650.81,False,False
531568478,531568478,15000,14080.83,2016-02-06 02:11:37,234.8,Wall Street News,US,US,2.0,1.0,subscriptions,2022-01-05,,,446,446,6030,PURCHASE,False,919.17,False,False
918205645,918205645,500,362.61,2016-09-21 22:58:41,22.54,EZ Putt Putt #551896,US,US,5.0,1.0,entertainment,2024-01-11,,2016-06-06,978,978,2777,PURCHASE,False,137.39,True,False
395834315,395834315,2500,939.36,2016-05-08 11:38:09,8.08,Hyatt House #418834,US,US,9.0,1.0,hotels,2029-01-05,,,827,827,78,PURCHASE,False,1560.64,True,False
788648791,788648791,5000,4027.53,2016-09-11 07:32:29,93.75,sears.com,US,US,5.0,1.0,online_retail,1931-01-05,2015-07-02,,550,550,3925,REVERSAL,False,972.47,False,False
917216469,917216469,15000,8632.0,2016-03-08 04:43:14,79.73,Golds Gym #887501,US,US,9.0,1.0,health,2025-01-04,,2016-03-03,251,251,4514,PURCHASE,False,6368.0,False,False
172523042,172523042,500,500.0,2016-10-18 21:49:07,167.55,Uber,US,US,5.0,8.0,rideshare,2025-01-05,,,376,376,8929,PURCHASE,False,0.0,False,False
534398540,534398540,5000,683.65,2016-11-14 22:15:17,189.04,sears.com,US,US,5.0,1.0,online_retail,1931-01-10,,,271,271,5028,PURCHASE,False,4316.35,False,False
445516477,445516477,10000,5097.82,2016-05-12 13:58:21,49.34,Dunkin' Donuts #392379,US,US,5.0,8.0,fastfood,2021-01-06,,,329,329,1982,PURCHASE,False,4902.18,True,False
413996293,413996293,1000,770.61,2016-11-11 23:51:54,63.89,walmart.com,US,US,2.0,1.0,online_retail,2020-01-04,,,387,387,4844,PURCHASE,False,229.39,False,False
803355905,803355905,250,224.54,2016-07-11 09:42:43,316.2,Starbucks #596555,US,US,90.0,1.0,fastfood,2019-01-02,2015-02-02,2015-02-02,193,193,9309,PURCHASE,False,25.46,True,False
389039056,389039056,2500,1825.56,2016-01-05 11:22:44,93.11,alibaba.com,US,US,9.0,1.0,online_retail,2020-01-08,,,883,883,359,PURCHASE,False,674.44,False,False
982170732,982170732,10000,1383.1,2016-09-05 16:11:10,21.57,Auntie Anne's #747964,US,US,2.0,1.0,fastfood,2027-01-06,,,602,602,5454,PURCHASE,False,8616.9,True,False
314506271,314506271,250,-665.68,2016-01-05 12:20:11,24.66,KFC #583688,US,US,5.0,1.0,fastfood,2024-01-10,,,815,815,2640,PURCHASE,False,915.68,True,False
456044564,456044564,10000,2019.0,2016-08-16 02:30:48,86.97,cheapfast.com,US,US,9.0,1.0,online_retail,2019-01-09,2012-05-10,,746,746,5658,PURCHASE,False,7981.0,False,False
744103282,744103282,20000,19989.97,2016-11-30 16:17:08,3.61,Play Store,US,US,2.0,1.0,mobileapps,1931-01-11,2015-09-12,2015-09-12,446,446,6776,PURCHASE,False,10.03,False,False
567278488,567278488,5000,5000.0,2016-01-22 12:07:28,323.65,Convenient Repair,US,US,2.0,1.0,auto,2022-01-05,2015-05-04,2015-05-04,871,878,6623,PURCHASE,False,0.0,True,False
702626304,702626304,5000,2157.51,2016-04-22 13:41:50,6.96,staples.com,US,US,9.0,1.0,online_retail,2029-01-01,2015-01-09,2015-01-09,814,814,4289,PURCHASE,False,2842.49,False,False
318001076,318001076,50000,21873.59,2016-05-08 00:53:36,39.45,sears.com,US,US,90.0,1.0,online_retail,2025-01-10,2015-11-12,,633,633,1789,PURCHASE,False,28126.41,False,False
306812486,306812486,15000,15000.0,2016-07-09 17:56:59,55.77,Texas Gas #500923,US,US,5.0,1.0,fuel,2025-01-04,2014-08-01,2014-08-01,904,904,3256,PURCHASE,False,0.0,True,False
608490413,608490413,10000,2651.18,2016-10-19 07:28:59,25.31,alibaba.com,US,US,5.0,1.0,online_retail,2019-01-07,,,198,198,1876,PURCHASE,False,7348.82,False,False
384936042,384936042,500,233.63,2016-09-23 04:43:21,185.28,Dunkin' Donuts #928549,US,US,9.0,1.0,fastfood,2024-01-10,,2016-06-03,317,317,2312,PURCHASE,False,266.37,True,False
